1 Loyalty Points = How much base currency?,1 Loyalty Points = How much base currency?,
1 hr,1 hr,
1{0},1{0},
2 Yearly,2 Yearly,
"209, Đ 30 Tháng 4, Xuân Khanh, Ninh Kiều, Cần Thơ","209, Đ 30 Tháng 4, Xuân Khanh, Ninh Kiều, Cần Thơ",
3 Yearly,3 Yearly,
30 mins,30 mins,
30-60,30-60,
30-60 Days,30-60 Days,
6 hrs,6 hrs,
60-90,60-90,
60-90 Days,60-90 Days,
"63 Kim Mã, Ba Đình, Hà Nội","63 Kim Mã, Ba Đình, Hà Nội",
"72 Nguyễn Cư Trinh, P. Phạm Ngũ Lão, Quận 1, TP. Hồ Chí Minh","72 Nguyễn Cư Trinh, P. Phạm Ngũ Lão, Quận 1, TP. Hồ Chí Minh",
90 Above,90 Above,
<b>From Time</b> cannot be later than <b>To Time</b> for {0},<b>From Time</b> cannot be later than <b>To Time</b> for {0},
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Other Details</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>",
"<div class=""text-muted text-center"">{0}</div>","<div class=""text-muted text-center"">{0}</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> All dimensions in centimeter only </h3>
</div>",
"<h3>Currency Exchange Settings Help</h3>
<p>There are 3 variables that could be used within the endpoint, result key and in values of the parameter.</p>
<p>Exchange rate between {from_currency} and {to_currency} on {transaction_date} is fetched by the API.</p>
<p>Example: If your endpoint is exchange.com/2021-08-01, then, you will have to input exchange.com/{transaction_date}</p>","<h3>Currency Exchange Settings Help</h3>
<p>There are 3 variables that could be used within the endpoint, result key and in values of the parameter.</p>
<p>Exchange rate between {from_currency} and {to_currency} on {transaction_date} is fetched by the API.</p>
<p>Example: If your endpoint is exchange.com/2021-08-01, then, you will have to input exchange.com/{transaction_date}</p>",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">Or</h5>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>",
"<p>In your <b>Email Template</b>, you can use the following special variables:
</p>
<ul>
        <li>
            <code>{{ update_password_link }}</code>: A link where your supplier can set a new password to log into your portal.
        </li>
        <li>
            <code>{{ portal_link }}</code>: A link to this RFQ in your supplier portal.
        </li>
        <li>
            <code>{{ supplier_name }}</code>: The company name of your supplier.
        </li>
        <li>
            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: The contact person of your supplier.
        </li><li>
            <code>{{ user_fullname }}</code>: Your full name.
        </li>
    </ul>
<p></p>
<p>Apart from these, you can access all values in this RFQ, like <code>{{ message_for_supplier }}</code> or <code>{{ terms }}</code>.</p>","<p>In your <b>Email Template</b>, you can use the following special variables:
</p>
<ul>
        <li>
            <code>{{ update_password_link }}</code>: A link where your supplier can set a new password to log into your portal.
        </li>
        <li>
            <code>{{ portal_link }}</code>: A link to this RFQ in your supplier portal.
        </li>
        <li>
            <code>{{ supplier_name }}</code>: The company name of your supplier.
        </li>
        <li>
            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: The contact person of your supplier.
        </li><li>
            <code>{{ user_fullname }}</code>: Your full name.
        </li>
    </ul>
<p></p>
<p>Apart from these, you can access all values in this RFQ, like <code>{{ message_for_supplier }}</code> or <code>{{ terms }}</code>.</p>",
<strong>Grand Total:</strong> {0},<strong>Grand Total:</strong> {0},
<strong>Outstanding Amount:</strong> {0},<strong>Outstanding Amount:</strong> {0},
A - B,A - B,
A - C,A - C,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,A Customer Group exists with same name please change the Customer name or rename the Customer Group,
A Holiday List can be added to exclude counting these days for the Workstation.,A Holiday List can be added to exclude counting these days for the Workstation.,
A Lead requires either a person's name or an organization's name,A Lead requires either a person's name or an organization's name,
A Packing Slip can only be created for Draft Delivery Note.,A Packing Slip can only be created for Draft Delivery Note.,
"A Price List is a collection of Item Prices either Selling, Buying, or both","A Price List is a collection of Item Prices either Selling, Buying, or both",
"A Product or a Service that is bought, sold or kept in stock.","A Product or a Service that is bought, sold or kept in stock.",
A Reconciliation Job {0} is running for the same filters. Cannot reconcile now,A Reconciliation Job {0} is running for the same filters. Cannot reconcile now,
A Transaction Deletion Document: {0} is triggered for {0},A Transaction Deletion Document: {0} is triggered for {0},
A condition for a Shipping Rule,A condition for a Shipping Rule,
A customer must have primary contact email.,A customer must have primary contact email.,
A design Item must have variants.,A design Item must have variants.,
A design item is a template and cannot be maintained as a stock item.,A design item is a template and cannot be maintained as a stock item.,
A driver must be set to submit.,A driver must be set to submit.,
A logical Warehouse against which stock entries are made.,A logical Warehouse against which stock entries are made.,
A new appointment has been created for you with {0},A new appointment has been created for you with {0},
A template with tax category {0} already exists. Only one template is allowed with each tax category,A template with tax category {0} already exists. Only one template is allowed with each tax category,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,
A+,A+,
A-,A-,
A4,A4,
AB+,AB+,
AB-,AB-,
ACB,ACB,
ACC-ADS-.YYYY.-,ACC-ADS-.YYYY.-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASA-.YYYY.-,ACC-ASA-.YYYY.-,
ACC-ASC-.YYYY.-,ACC-ASC-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC Expiry Date,
API,API,
API Details,API Details,
API Endpoint,API Endpoint,
API Key,API Key,
AWB Number,AWB Number,
Abbr,Abbr,
Abbreviation,Abbreviation,
Abbreviation already used for another company,Abbreviation already used for another company,
Abbreviation is mandatory,Abbreviation is mandatory,
Abbreviation: {0} must appear only once,Abbreviation: {0} must appear only once,
About,About,
About {0} minute remaining,About {0} minute remaining,
About {0} minutes remaining,About {0} minutes remaining,
About {0} seconds remaining,About {0} seconds remaining,
Academics User,Academics User,
Acceptance Criteria Formula,Acceptance Criteria Formula,
Acceptance Criteria Value,Acceptance Criteria Value,
Accepted,Accepted,
Accepted Qty,Accepted Qty,
Accepted Qty in Stock UOM,Accepted Qty in Stock UOM,
Accepted Quantity,Accepted Quantity,
Accepted Warehouse,Accepted Warehouse,
Access Key,Access Key,
Access Key is required for Service Provider: {0},Access Key is required for Service Provider: {0},
"According to the BOM {0}, the Item '{1}' is missing in the stock entry.","According to the BOM {0}, the Item '{1}' is missing in the stock entry.",
Account,Account,
Account Balance,Account Balance,
Account Balance (From),Account Balance (From),
Account Balance (To),Account Balance (To),
Account Closing Balance,Account Closing Balance,
Account Currency,Account Currency,
Account Currency (From),Account Currency (From),
Account Currency (To),Account Currency (To),
Account Details,Account Details,
Account Head,Account Head,
Account Missing,Account Missing,
Account Name,Account Name,
Account Not Found,Account Not Found,
Account Number,Account Number,
Account Number {0} already used in account {1},Account Number {0} already used in account {1},
Account Opening Balance,Account Opening Balance,
Account Paid From,Account Paid From,
Account Paid To,Account Paid To,
Account Pay Only,Account Pay Only,
Account Subtype,Account Subtype,
Account Type,Account Type,
Account Value,Account Value,
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",
Account for Change Amount,Account for Change Amount,
Account is mandatory to get payment entries,Account is mandatory to get payment entries,
Account is not set for the dashboard chart {0},Account is not set for the dashboard chart {0},
Account not Found,Account not Found,
Account with child nodes cannot be converted to ledger,Account with child nodes cannot be converted to ledger,
Account with child nodes cannot be set as ledger,Account with child nodes cannot be set as ledger,
Account with existing transaction can not be converted to group.,Account with existing transaction can not be converted to group.,
Account with existing transaction can not be deleted,Account with existing transaction can not be deleted,
Account with existing transaction cannot be converted to ledger,Account with existing transaction cannot be converted to ledger,
Account {0} added multiple times,Account {0} added multiple times,
Account {0} does not belong to company: {1},Account {0} does not belong to company: {1},
Account {0} does not belongs to company {1},Account {0} does not belongs to company {1},
Account {0} does not exist,Account {0} does not exist,
Account {0} does not exists,Account {0} does not exists,
Account {0} does not exists in the dashboard chart {1},Account {0} does not exists in the dashboard chart {1},
Account {0} does not match with Company {1} in Mode of Account: {2},Account {0} does not match with Company {1} in Mode of Account: {2},
Account {0} exists in parent company {1}.,Account {0} exists in parent company {1}.,
Account {0} has been entered multiple times,Account {0} has been entered multiple times,
Account {0} is added in the child company {1},Account {0} is added in the child company {1},
Account {0} is frozen,Account {0} is frozen,
Account {0} is invalid. Account Currency must be {1},Account {0} is invalid. Account Currency must be {1},
Account {0}: Parent account {1} can not be a ledger,Account {0}: Parent account {1} can not be a ledger,
Account {0}: Parent account {1} does not belong to company: {2},Account {0}: Parent account {1} does not belong to company: {2},
Account {0}: Parent account {1} does not exist,Account {0}: Parent account {1} does not exist,
Account {0}: You can not assign itself as parent account,Account {0}: You can not assign itself as parent account,
Account: <b>{0}</b> is capital Work in progress and can not be updated by Journal Entry,Account: <b>{0}</b> is capital Work in progress and can not be updated by Journal Entry,
Account: {0} can only be updated via Stock Transactions,Account: {0} can only be updated via Stock Transactions,
Account: {0} is not permitted under Payment Entry,Account: {0} is not permitted under Payment Entry,
Account: {0} with currency: {1} can not be selected,Account: {0} with currency: {1} can not be selected,
Accounting,Accounting,
Accounting Details,Accounting Details,
Accounting Dimension,Accounting Dimension,
Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,
Accounting Dimension <b>{0}</b> is required for 'Profit and Loss' account {1}.,Accounting Dimension <b>{0}</b> is required for 'Profit and Loss' account {1}.,
Accounting Dimension Detail,Accounting Dimension Detail,
Accounting Dimension Filter,Accounting Dimension Filter,
Accounting Dimensions,Accounting Dimensions,
Accounting Dimensions Filter,Accounting Dimensions Filter,
Accounting Entries,Accounting Entries,
Accounting Entry for Asset,Accounting Entry for Asset,
Accounting Entry for Service,Accounting Entry for Service,
Accounting Entry for Stock,Accounting Entry for Stock,
Accounting Entry for {0},Accounting Entry for {0},
Accounting Entry for {0}: {1} can only be made in currency: {2},Accounting Entry for {0}: {1} can only be made in currency: {2},
Accounting Ledger,Accounting Ledger,
Accounting Period,Accounting Period,
Accounting Period overlaps with {0},Accounting Period overlaps with {0},
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,
Accounts,Accounts,
Accounts Closing,Accounts Closing,
Accounts Frozen Till Date,Accounts Frozen Till Date,
Accounts Manager,Accounts Manager,
Accounts Missing Error,Accounts Missing Error,
Accounts Payable,Accounts Payable,
Accounts Payable Summary,Accounts Payable Summary,
Accounts Receivable,Accounts Receivable,
Accounts Receivable Credit Account,Accounts Receivable Credit Account,
Accounts Receivable Discounted Account,Accounts Receivable Discounted Account,
Accounts Receivable Summary,Accounts Receivable Summary,
Accounts Receivable Unpaid Account,Accounts Receivable Unpaid Account,
Accounts Receivable/Payable,Accounts Receivable/Payable,
Accounts Settings,Accounts Settings,
Accounts User,Accounts User,
Accounts table cannot be blank.,Accounts table cannot be blank.,
Accounts to Merge,Accounts to Merge,
Accumulated Depreciation,Accumulated Depreciation,
Accumulated Depreciation Account,Accumulated Depreciation Account,
Accumulated Depreciation Amount,Accumulated Depreciation Amount,
Accumulated Depreciation as on,Accumulated Depreciation as on,
Accumulated Monthly,Accumulated Monthly,
Accumulated Values,Accumulated Values,
Accumulated Values in Group Company,Accumulated Values in Group Company,
Achieved ({}),Achieved ({}),
Acquisition Date,Acquisition Date,
Action,Action,
Action If Quality Inspection Is Not Submitted,Action If Quality Inspection Is Not Submitted,
Action If Quality Inspection Is Rejected,Action If Quality Inspection Is Rejected,
Action If Same Rate is Not Maintained,Action If Same Rate is Not Maintained,
Action Initialised,Action Initialised,
Action if Accumulated Monthly Budget Exceeded on Actual,Action if Accumulated Monthly Budget Exceeded on Actual,
Action if Accumulated Monthly Budget Exceeded on MR,Action if Accumulated Monthly Budget Exceeded on MR,
Action if Accumulated Monthly Budget Exceeded on PO,Action if Accumulated Monthly Budget Exceeded on PO,
Action if Annual Budget Exceeded on Actual,Action if Annual Budget Exceeded on Actual,
Action if Annual Budget Exceeded on MR,Action if Annual Budget Exceeded on MR,
Action if Annual Budget Exceeded on PO,Action if Annual Budget Exceeded on PO,
Action if Same Rate is Not Maintained Throughout Sales Cycle,Action if Same Rate is Not Maintained Throughout Sales Cycle,
Actions,Actions,
Actions performed,Actions performed,
Active,Active,
Active Leads,Active Leads,
Active Status,Active Status,
Activities,Activities,
Activity,Activity,
Activity Cost,Activity Cost,
Activity Cost exists for Employee {0} against Activity Type - {1},Activity Cost exists for Employee {0} against Activity Type - {1},
Activity Cost per Employee,Activity Cost per Employee,
Activity Type,Activity Type,
Actual,Actual,
Actual Balance Qty,Actual Balance Qty,
Actual Batch Quantity,Actual Batch Quantity,
Actual Cost,Actual Cost,
Actual Date,Actual Date,
Actual Delivery Date,Actual Delivery Date,
Actual End Date,Actual End Date,
Actual End Date (via Timesheet),Actual End Date (via Timesheet),
Actual End Time,Actual End Time,
Actual Expense,Actual Expense,
Actual Operating Cost,Actual Operating Cost,
Actual Operation Time,Actual Operation Time,
Actual Posting,Actual Posting,
Actual Qty,Actual Qty,
Actual Qty (at source/target),Actual Qty (at source/target),
Actual Qty in Warehouse,Actual Qty in Warehouse,
Actual Qty is mandatory,Actual Qty is mandatory,
Actual Qty {0} / Waiting Qty {1},Actual Qty {0} / Waiting Qty {1},
Actual Qty: Quantity available in the warehouse.,Actual Qty: Quantity available in the warehouse.,
Actual Quantity,Actual Quantity,
Actual Start Date,Actual Start Date,
Actual Start Date (via Timesheet),Actual Start Date (via Timesheet),
Actual Start Time,Actual Start Time,
Actual Time,Actual Time,
Actual Time and Cost,Actual Time and Cost,
Actual Time in Hours (via Timesheet),Actual Time in Hours (via Timesheet),
Actual qty in stock,Actual qty in stock,
Actual type tax cannot be included in Item rate in row {0},Actual type tax cannot be included in Item rate in row {0},
Add,Add,
Add / Edit Prices,Add / Edit Prices,
Add Child,Add Child,
Add Columns in Transaction Currency,Add Columns in Transaction Currency,
Add Comment,Add Comment,
Add Corrective Operation Cost in Finished Good Valuation,Add Corrective Operation Cost in Finished Good Valuation,
Add Customers,Add Customers,
Add Discount,Add Discount,
Add Employees,Add Employees,
Add Item,Add Item,
Add Items,Add Items,
Add Items in the Purpose Table,Add Items in the Purpose Table,
Add Lead to Prospect,Add Lead to Prospect,
Add Leads,Add Leads,
Add Local Holidays,Add Local Holidays,
Add Manually,Add Manually,
Add Multiple,Add Multiple,
Add Multiple Tasks,Add Multiple Tasks,
Add Or Deduct,Add Or Deduct,
Add Order Discount,Add Order Discount,
Add Participants,Add Participants,
Add Quote,Add Quote,
Add Sales Partners,Add Sales Partners,
Add Serial / Batch Bundle,Add Serial / Batch Bundle,
Add Serial / Batch No,Add Serial / Batch No,
Add Serial / Batch No (Rejected Qty),Add Serial / Batch No (Rejected Qty),
Add Stock,Add Stock,
Add Sub Assembly,Add Sub Assembly,
Add Suppliers,Add Suppliers,
Add Template,Add Template,
Add Timesheets,Add Timesheets,
Add Weekly Holidays,Add Weekly Holidays,
Add a Note,Add a Note,
Add details,Add details,
Add items in the Item Locations table,Add items in the Item Locations table,
Add or Deduct,Add or Deduct,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,
Add to Holidays,Add to Holidays,
Add to Prospect,Add to Prospect,
Add to Transit,Add to Transit,
Add/Edit Coupon Conditions,Add/Edit Coupon Conditions,
Added,Added,
Added By,Added By,
Added On,Added On,
Added Supplier Role to User {0}.,Added Supplier Role to User {0}.,
Added {0} ({1}),Added {0} ({1}),
Added {1} Role to User {0}.,Added {1} Role to User {0}.,
Adding Lead to Prospect...,Adding Lead to Prospect...,
Additional,Additional,
Additional Asset Cost,Additional Asset Cost,
Additional Cost,Additional Cost,
Additional Cost Per Qty,Additional Cost Per Qty,
Additional Costs,Additional Costs,
Additional Data,Additional Data,
Additional Details,Additional Details,
Additional Discount,Additional Discount,
Additional Discount Amount,Additional Discount Amount,
Additional Discount Amount (Company Currency),Additional Discount Amount (Company Currency),
Additional Discount Percentage,Additional Discount Percentage,
Additional Info,Additional Info,
Additional Information,Additional Information,
Additional Notes,Additional Notes,
Additional Operating Cost,Additional Operating Cost,
Additional information regarding the customer.,Additional information regarding the customer.,
Address,Address,
Address & Contact,Address & Contact,
Address & Contacts,Address & Contacts,
Address Desc,Address Desc,
Address HTML,Address HTML,
Address Line 1,Address Line 1,
Address Line 2,Address Line 2,
Address Name,Address Name,
Address and Contact,Address and Contact,
Address and Contacts,Address and Contacts,
Address needs to be linked to a Company. Please add a row for Company in the Links table.,Address needs to be linked to a Company. Please add a row for Company in the Links table.,
Address used to determine Tax Category in transactions,Address used to determine Tax Category in transactions,
Adjust Asset Value,Adjust Asset Value,
Adjustment Against,Adjustment Against,
Adjustment based on Purchase Invoice rate,Adjustment based on Purchase Invoice rate,
Administrative Expenses,Administrative Expenses,
Administrator,Administrator,
Advance Account,Advance Account,
Advance Account: {0} must be in either customer billing currency: {1} or Company default currency: {2},Advance Account: {0} must be in either customer billing currency: {1} or Company default currency: {2},
Advance Amount,Advance Amount,
Advance Paid,Advance Paid,
Advance Payment,Advance Payment,
Advance Payment Date,Advance Payment Date,
Advance Payment Ledger Entry,Advance Payment Ledger Entry,
Advance Payments,Advance Payments,
Advance Reconciliation Takes Effect On,Advance Reconciliation Takes Effect On,
Advance Tax,Advance Tax,
Advance Taxes and Charges,Advance Taxes and Charges,
Advance amount,Advance amount,
Advance amount cannot be greater than {0} {1},Advance amount cannot be greater than {0} {1},
Advance paid against {0} {1} cannot be greater than Grand Total {2},Advance paid against {0} {1} cannot be greater than Grand Total {2},
Advance payments allocated against orders will only be fetched,Advance payments allocated against orders will only be fetched,
Advanced Settings,Advanced Settings,
Advances,Advances,
Affected Transactions,Affected Transactions,
Against,Against,
Against Account,Against Account,
Against Blanket Order,Against Blanket Order,
Against Customer Order {0},Against Customer Order {0},
Against Default Supplier,Against Default Supplier,
Against Delivery Note Item,Against Delivery Note Item,
Against Docname,Against Docname,
Against Doctype,Against Doctype,
Against Document Detail No,Against Document Detail No,
Against Document No,Against Document No,
Against Expense Account,Against Expense Account,
Against Income Account,Against Income Account,
Against Journal Entry {0} does not have any unmatched {1} entry,Against Journal Entry {0} does not have any unmatched {1} entry,
Against Journal Entry {0} is already adjusted against some other voucher,Against Journal Entry {0} is already adjusted against some other voucher,
Against Sales Invoice,Against Sales Invoice,
Against Sales Invoice Item,Against Sales Invoice Item,
Against Sales Order,Against Sales Order,
Against Sales Order Item,Against Sales Order Item,
Against Stock Entry,Against Stock Entry,
Against Supplier Invoice {0},Against Supplier Invoice {0},
Against Voucher,Against Voucher,
Against Voucher No,Against Voucher No,
Against Voucher Type,Against Voucher Type,
Age,Age,
Age (Days),Age (Days),
Age ({0}),Age ({0}),
Ageing Based On,Ageing Based On,
Ageing Range,Ageing Range,
Agenda,Agenda,
Agent Busy Message,Agent Busy Message,
Agent Details,Agent Details,
Agent Group,Agent Group,
Agent Unavailable Message,Agent Unavailable Message,
Agents,Agents,
Aggregate a group of Items into another Item. This is useful if you are maintaining the stock of the packed items and not the bundled item,Aggregate a group of Items into another Item. This is useful if you are maintaining the stock of the packed items and not the bundled item,
Agribank,Agribank,
Agriculture Manager,Agriculture Manager,
Agriculture User,Agriculture User,
Algorithm,Algorithm,
All,All,
All Accounts,All Accounts,
All Activities,All Activities,
All Activities HTML,All Activities HTML,
All BOMs,All BOMs,
All Contact,All Contact,
All Customer Contact,All Customer Contact,
All Customer Groups,All Customer Groups,
All Day,All Day,
All Departments,All Departments,
All Employee (Active),All Employee (Active),
All Item Groups,All Item Groups,
All Items,All Items,
All Lead (Open),All Lead (Open),
All Sales Partner Contact,All Sales Partner Contact,
All Sales Person,All Sales Person,
All Sales Transactions can be tagged against multiple Sales Persons so that you can set and monitor targets.,All Sales Transactions can be tagged against multiple Sales Persons so that you can set and monitor targets.,
All Supplier Contact,All Supplier Contact,
All Supplier Groups,All Supplier Groups,
All Territories,All Territories,
All Warehouses,All Warehouses,
All allocations have been successfully reconciled,All allocations have been successfully reconciled,
All communications including and above this shall be moved into the new Issue,All communications including and above this shall be moved into the new Issue,
All items have already been Invoiced/Returned,All items have already been Invoiced/Returned,
All items have already been received,All items have already been received,
All items have already been transferred for this Work Order.,All items have already been transferred for this Work Order.,
All items in this document already have a linked Quality Inspection.,All items in this document already have a linked Quality Inspection.,
All the Comments and Emails will be copied from one document to another newly created document(Lead -> Opportunity -> Quotation) throughout the CRM documents.,All the Comments and Emails will be copied from one document to another newly created document(Lead -> Opportunity -> Quotation) throughout the CRM documents.,
"All the required items (raw materials) will be fetched from BOM and populated in this table. Here you can also change the Source Warehouse for any item. And during the production, you can track transferred raw materials from this table.","All the required items (raw materials) will be fetched from BOM and populated in this table. Here you can also change the Source Warehouse for any item. And during the production, you can track transferred raw materials from this table.",
All these items have already been Invoiced/Returned,All these items have already been Invoiced/Returned,
Allocate,Allocate,
Allocate Advances Automatically (FIFO),Allocate Advances Automatically (FIFO),
Allocate Payment Amount,Allocate Payment Amount,
Allocate Payment Based On Payment Terms,Allocate Payment Based On Payment Terms,
Allocate Payment Request,Allocate Payment Request,
Allocated,Allocated,
Allocated Amount,Allocated Amount,
Allocated Entries,Allocated Entries,
Allocated To:,Allocated To:,
Allocated amount,Allocated amount,
Allocated amount cannot be greater than unadjusted amount,Allocated amount cannot be greater than unadjusted amount,
